,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
0,All Quiet on the Western Front,2022,7.9,76.0,57199,,148,"Action, Drama, War            ",R,"
    Director:
Edward Berger
| 
    Stars:
Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus
","
A young German soldier's terrifying experiences and distress on the western front during World War I."
1,Top Gun: Maverick,2022,8.4,78.0,426559,,130,"Action, Drama            ",PG-13,"
    Director:
Joseph Kosinski
| 
    Stars:
Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer
","
After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
2,Kantara,2022,9.1,,66410,,148,"Action, Adventure, Drama            ",,"
    Director:
Rishab Shetty
| 
    Stars:
Rishab Shetty, 
Sapthami Gowda, 
Kishore Kumar G., 
Achyuth Kumar
","
It involves culture of Kambla and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he able to regain peace in the village?"
3,Everything Everywhere All at Once,2022,8.1,81.0,236281,,139,"Action, Adventure, Comedy            ",R,"
    Directors:
Dan Kwan, 
Daniel Scheinert
| 
    Stars:
Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan
","
An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."
4,The Batman,2022,7.9,72.0,621124,,176,"Action, Crime, Drama            ",PG-13,"
    Director:
Matt Reeves
| 
    Stars:
Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell
","
When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
5,Avatar,2009,7.8,83.0,1244548,760.51,162,"Action, Adventure, Fantasy            ",PG-13,"
    Director:
James Cameron
| 
    Stars:
Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez
","
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
6,The Shawshank Redemption,1994,9.3,81.0,2661406,28.34,142,Drama            ,R,"
    Director:
Frank Darabont
| 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler
","
Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
7,The Godfather,1972,9.2,100.0,1844404,134.97,175,"Crime, Drama            ",R,"
    Director:
Francis Ford Coppola
| 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton
","
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
8,Harry Potter and the Sorcerer's Stone,2001,7.6,65.0,775584,317.58,152,"Adventure, Family, Fantasy            ",PG,"
    Director:
Chris Columbus
| 
    Stars:
Daniel Radcliffe, 
Rupert Grint, 
Richard Harris, 
Maggie Smith
","
An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
9,A Christmas Story,1983,7.9,77.0,148821,20.61,93,"Comedy, Family            ",PG,"
    Director:
Bob Clark
| 
    Stars:
Peter Billingsley, 
Melinda Dillon, 
Darren McGavin, 
Scott Schwartz
","
In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
10,Knives Out,2019,7.9,82.0,621014,165.36,130,"Comedy, Crime, Drama            ",PG-13,"
    Director:
Rian Johnson
| 
    Stars:
Daniel Craig, 
Chris Evans, 
Ana de Armas, 
Jamie Lee Curtis
","
A detective investigates the death of the patriarch of an eccentric, combative family."
11,All Quiet on the Western Front,1930,8.1,91.0,62781,3.27,152,"Drama, War            ",Passed,"
    Director:
Lewis Milestone
| 
    Stars:
Lew Ayres, 
Louis Wolheim, 
John Wray, 
Arnold Lucy
","
A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
12,Interstellar,2014,8.6,74.0,1807398,188.02,169,"Adventure, Drama, Sci-Fi            ",PG-13,"
    Director:
Christopher Nolan
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy
","
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
13,American Psycho,2000,7.6,64.0,612465,15.07,102,"Crime, Drama, Horror            ",R,"
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
","
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
14,Spider-Man: No Way Home,2021,8.3,71.0,743387,804.75,148,"Action, Adventure, Fantasy            ",PG-13,"
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon
","
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
15,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1864062,315.54,178,"Action, Adventure, Drama            ",PG-13,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
16,Rogue One: A Star Wars Story,2016,7.8,65.0,633328,532.18,133,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Gareth Edwards
| 
    Stars:
Felicity Jones, 
Diego Luna, 
Alan Tudyk, 
Donnie Yen
","
In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
17,Dune,2021,8.0,74.0,624257,108.33,155,"Action, Adventure, Drama            ",PG-13,"
    Director:
Denis Villeneuve
| 
    Stars:
Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac
","
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future."
18,V for Vendetta,2005,8.2,62.0,1118802,70.51,132,"Action, Drama, Sci-Fi            ",R,"
    Director:
James McTeigue
| 
    Stars:
Hugo Weaving, 
Natalie Portman, 
Rupert Graves, 
Stephen Rea
","
In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
19,The Dark Knight,2008,9.0,84.0,2634366,534.86,152,"Action, Crime, Drama            ",PG-13,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine
","
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
20,Home Alone,1990,7.7,63.0,565705,285.76,103,"Comedy, Family            ",PG,"
    Director:
Chris Columbus
| 
    Stars:
Macaulay Culkin, 
Joe Pesci, 
Daniel Stern, 
John Heard
","
An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation."
21,Once Upon a Time in Hollywood,2019,7.6,83.0,728857,142.5,161,"Comedy, Drama            ",R,"
    Director:
Quentin Tarantino
| 
    Stars:
Leonardo DiCaprio, 
Brad Pitt, 
Margot Robbie, 
Emile Hirsch
","
A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles."
22,Pulp Fiction,1994,8.9,94.0,2037120,107.93,154,"Crime, Drama            ",R,"
    Director:
Quentin Tarantino
| 
    Stars:
John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis
","
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
23,Avengers: Endgame,2019,8.4,78.0,1117121,858.37,181,"Action, Adventure, Drama            ",PG-13,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
","
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
24,Fight Club,1999,8.8,66.0,2106712,37.03,139,Drama            ,R,"
    Director:
David Fincher
| 
    Stars:
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
","
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
25,The Wolf of Wall Street,2013,8.2,75.0,1395651,116.9,180,"Biography, Comedy, Crime            ",R,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Jonah Hill, 
Margot Robbie, 
Matthew McConaughey
","
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
26,Goodfellas,1990,8.7,90.0,1153323,46.84,145,"Biography, Crime, Drama            ",R,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Ray Liotta, 
Joe Pesci, 
Lorraine Bracco
","
The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
27,Back to the Future,1985,8.5,87.0,1196899,210.61,116,"Adventure, Comedy, Sci-Fi            ",PG,"
    Director:
Robert Zemeckis
| 
    Stars:
Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Crispin Glover
","
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
28,Inception,2010,8.8,74.0,2334357,292.58,148,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Christopher Nolan
| 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe
","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
29,The Gentlemen,2019,7.8,51.0,336913,36.47,113,"Action, Comedy, Crime            ",R,"
    Director:
Guy Ritchie
| 
    Stars:
Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong
","
An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
30,Titanic,1997,7.9,75.0,1166435,659.33,194,"Drama, Romance            ",PG-13,"
    Director:
James Cameron
| 
    Stars:
Leonardo DiCaprio, 
Kate Winslet, 
Billy Zane, 
Kathy Bates
","
A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
31,American Beauty,1999,8.4,84.0,1151398,130.1,122,Drama            ,R,"
    Director:
Sam Mendes
| 
    Stars:
Kevin Spacey, 
Annette Bening, 
Thora Birch, 
Wes Bentley
","
A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend."
32,Joker,2019,8.4,59.0,1265049,335.45,122,"Crime, Drama, Thriller            ",R,"
    Director:
Todd Phillips
| 
    Stars:
Joaquin Phoenix, 
Robert De Niro, 
Zazie Beetz, 
Frances Conroy
","
A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain."
33,Inglourious Basterds,2009,8.3,69.0,1438401,120.54,153,"Adventure, Drama, War            ",R,"
    Director:
Quentin Tarantino
| 
    Stars:
Brad Pitt, 
Diane Kruger, 
Eli Roth, 
Mélanie Laurent
","
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
34,Parasite,2019,8.5,96.0,790779,53.37,132,"Drama, Thriller            ",R,"
    Director:
Bong Joon Ho
| 
    Stars:
Song Kang-ho, 
Lee Sun-kyun, 
Cho Yeo-jeong, 
Choi Woo-sik
","
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
35,Whiplash,2014,8.5,89.0,851090,13.09,106,"Drama, Music            ",R,"
    Director:
Damien Chazelle
| 
    Stars:
Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser
","
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
36,Get Out,2017,7.7,85.0,604582,176.04,104,"Horror, Mystery, Thriller            ",R,"
    Director:
Jordan Peele
| 
    Stars:
Daniel Kaluuya, 
Allison Williams, 
Bradley Whitford, 
Catherine Keener
","
A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
37,Schindler's List,1993,9.0,94.0,1347899,96.9,195,"Biography, Drama, History            ",R,"
    Director:
Steven Spielberg
| 
    Stars:
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall
","
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
38,Zootopia,2016,8.0,78.0,497261,341.27,108,"Animation, Adventure, Comedy            ",PG,"
    Directors:
Byron Howard, 
Rich Moore, 
Jared Bush
| 
    Stars:
Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate
","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
39,Blade Runner 2049,2017,8.0,81.0,567544,92.05,164,"Action, Drama, Mystery            ",R,"
    Director:
Denis Villeneuve
| 
    Stars:
Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista
","
Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
40,1917,2019,8.2,78.0,582889,159.23,119,"Action, Drama, War            ",R,"
    Director:
Sam Mendes
| 
    Stars:
Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth
","
April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
41,Inside Man,2006,7.6,76.0,373964,88.51,129,"Crime, Drama, Mystery            ",R,"
    Director:
Spike Lee
| 
    Stars:
Denzel Washington, 
Clive Owen, 
Jodie Foster, 
Christopher Plummer
","
A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
42,The Silence of the Lambs,1991,8.6,85.0,1423929,130.74,118,"Crime, Drama, Thriller            ",R,"
    Director:
Jonathan Demme
| 
    Stars:
Jodie Foster, 
Anthony Hopkins, 
Lawrence A. Bonney, 
Kasi Lemmons
","
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
43,In Bruges,2008,7.9,67.0,426340,7.76,107,"Comedy, Crime, Drama            ",R,"
    Director:
Martin McDonagh
| 
    Stars:
Colin Farrell, 
Brendan Gleeson, 
Ciarán Hinds, 
Elizabeth Berrington
","
Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
44,Forrest Gump,1994,8.8,82.0,2062456,330.25,142,"Drama, Romance            ",PG-13,"
    Director:
Robert Zemeckis
| 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field
","
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
45,RRR,2022,8.0,83.0,115231,,187,"Action, Drama            ",Not Rated,"
    Director:
S.S. Rajamouli
| 
    Stars:
N.T. Rama Rao Jr., 
Ram Charan Teja, 
Ajay Devgn, 
Alia Bhatt
","
A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s."
46,Se7en,1995,8.6,65.0,1640204,100.13,127,"Crime, Drama, Mystery            ",R,"
    Director:
David Fincher
| 
    Stars:
Morgan Freeman, 
Brad Pitt, 
Kevin Spacey, 
Andrew Kevin Walker
","
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
47,The Shining,1980,8.4,66.0,1016826,44.02,146,"Drama, Horror            ",R,"
    Director:
Stanley Kubrick
| 
    Stars:
Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers
","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
48,Saving Private Ryan,1998,8.6,91.0,1383231,216.54,169,"Drama, War            ",R,"
    Director:
Steven Spielberg
| 
    Stars:
Tom Hanks, 
Matt Damon, 
Tom Sizemore, 
Edward Burns
","
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
49,Halloween,1978,7.7,87.0,281585,47.0,91,"Horror, Thriller            ",R,"
    Director:
John Carpenter
| 
    Stars:
Donald Pleasence, 
Jamie Lee Curtis, 
Tony Moran, 
Nancy Kyes
","
Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
50,The Green Mile,1999,8.6,61.0,1293224,136.8,189,"Crime, Drama, Fantasy            ",R,"
    Director:
Frank Darabont
| 
    Stars:
Tom Hanks, 
Michael Clarke Duncan, 
David Morse, 
Bonnie Hunt
","
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
